date,order_id,customer_id,product_name,category,quantity,unit_price,total_amount,,
15/01/2024,ORD-001,CUST-1001,Wireless,Headphones,Electronics,2,99.99,199.98,
15/01/2024,ORD-002,CUST-1002,Coffee,Maker,Appliances,1,149.5,149.5,
16/01/2024,ORD-003,CUST-1003,Running,Shoes,Sports,1,89.99,89.99,
16/01/2024,ORD-004,CUST-1001,Smartphone,Case,Electronics,3,24.99,74.97,
17/01/2024,ORD-005,CUST-1004,Yoga,Mat,Sports,2,39.99,79.98,
17/01/2024,ORD-006,CUST-1005,Bluetooth,Speaker,Electronics,1,79.99,79.99,
18/01/2024,ORD-007,CUST-1002,Kitchen,Scale,Appliances,1,29.99,29.99,
18/01/2024,ORD-008,CUST-1006,Protein,Powder,Health,1,49.99,49.99,
19/01/2024,ORD-009,CUST-1007,Laptop,Stand,Electronics,1,45.99,45.99,
19/01/2024,ORD-010,CUST-1003,Water,Bottle,Sports,2,19.99,39.98,
20/01/2024,ORD-011,CUST-1008,Gaming,Mouse,Electronics,1,69.99,69.99,
20/01/2024,ORD-012,CUST-1009,Protein,Bar,Health,12,4.99,59.88,
21/01/2024,ORD-013,CUST-1010,Tennis,Racket,Sports,1,129.99,129.99,
21/01/2024,ORD-014,CUST-1004,Air,Fryer,Appliances,1,199.99,199.99,
22/01/2024,ORD-015,CUST-1011,Wireless,Charger,Electronics,1,39.99,39.99,
22/01/2024,ORD-016,CUST-1012,Multivitamins,Health,2,29.99,59.98,,
23/01/2024,ORD-017,CUST-1005,Basketball,Sports,1,24.99,24.99,,
23/01/2024,ORD-018,CUST-1013,Blender,Appliances,1,89.99,89.99,,
24/01/2024,ORD-019,CUST-1014,Tablet,Stand,Electronics,2,19.99,39.98,
24/01/2024,ORD-020,CUST-1007,Pre-Workout,Health,1,39.99,39.99,,
25/01/2024,ORD-021,CUST-1015,Soccer,Ball,Sports,1,34.99,34.99,
25/01/2024,ORD-022,CUST-1001,Food,Processor,Appliances,1,249.99,249.99,
26/01/2024,ORD-023,CUST-1016,Smart,Watch,Electronics,1,299.99,299.99,
26/01/2024,ORD-024,CUST-1017,Fish,Oil,Health,1,24.99,24.99,
27/01/2024,ORD-025,CUST-1003,Dumbbells,Sports,1,79.99,79.99,,
27/01/2024,ORD-026,CUST-1018,Espresso,Machine,Appliances,1,399.99,399.99,
28/01/2024,ORD-027,CUST-1019,Noise,Cancelling,Headphones,Electronics,1,199.99,199.99
28/01/2024,ORD-028,CUST-1020,Creatine,Health,1,34.99,34.99,,
29/01/2024,ORD-029,CUST-1006,Resistance,Bands,Sports,1,29.99,29.99,
29/01/2024,ORD-030,CUST-1021,Stand,Mixer,Appliances,1,299.99,299.99,
30/01/2024,ORD-031,CUST-1008,USB-C,Hub,Electronics,1,49.99,49.99,
30/01/2024,ORD-032,CUST-1022,Probiotics,Health,1,44.99,44.99,,
31/01/2024,ORD-033,CUST-1009,Exercise,Bike,Sports,1,399.99,399.99,
31/01/2024,ORD-034,CUST-1023,Instant,Pot,Appliances,1,129.99,129.99,
01/02/2024,ORD-035,CUST-1024,Mechanical,Keyboard,Electronics,1,149.99,149.99,
01/02/2024,ORD-036,CUST-1012,Whey,Protein,Health,1,59.99,59.99,
02/02/2024,ORD-037,CUST-1025,Golf,Clubs,Sports,1,599.99,599.99,
02/02/2024,ORD-038,CUST-1026,Rice,Cooker,Appliances,1,79.99,79.99,
03/02/2024,ORD-039,CUST-1010,External,Hard,Drive,Electronics,1,89.99,89.99
03/02/2024,ORD-040,CUST-1027,BCAA,Health,1,29.99,29.99,,
04/02/2024,ORD-041,CUST-1013,Treadmill,Sports,1,799.99,799.99,,
04/02/2024,ORD-042,CUST-1028,Slow,Cooker,Appliances,1,69.99,69.99,
05/02/2024,ORD-043,CUST-1029,Webcam,Electronics,1,79.99,79.99,,
05/02/2024,ORD-044,CUST-1030,Omega-3,Health,1,39.99,39.99,,
06/02/2024,ORD-045,CUST-1014,Punching,Bag,Sports,1,149.99,149.99,
06/02/2024,ORD-046,CUST-1015,Toaster,Oven,Appliances,1,119.99,119.99,
07/02/2024,ORD-047,CUST-1031,Monitor,Electronics,1,249.99,249.99,,
07/02/2024,ORD-048,CUST-1016,Magnesium,Health,1,19.99,19.99,,
08/02/2024,ORD-049,CUST-1032,Rowing,Machine,Sports,1,499.99,499.99,
08/02/2024,ORD-050,CUST-1017,Vacuum,Cleaner,Appliances,1,199.99,199.99,
09/02/2024,ORD-051,CUST-1033,Graphics,Card,Electronics,1,599.99,599.99,
09/02/2024,ORD-052,CUST-1018,Vitamin,D,Health,1,14.99,14.99,
10/02/2024,ORD-053,CUST-1034,Kayak,Sports,1,799.99,799.99,,
10/02/2024,ORD-054,CUST-1019,Dishwasher,Appliances,1,699.99,699.99,,
11/02/2024,ORD-055,CUST-1035,Gaming,Chair,Electronics,1,399.99,399.99,
11/02/2024,ORD-056,CUST-1020,Collagen,Health,1,49.99,49.99,,
12/02/2024,ORD-057,CUST-1036,Elliptical,Sports,1,899.99,899.99,,
12/02/2024,ORD-058,CUST-1021,Microwave,Appliances,1,149.99,149.99,,
13/02/2024,ORD-059,CUST-1037,Laptop,Electronics,1,999.99,999.99,,
13/02/2024,ORD-060,CUST-1022,Turmeric,Health,1,24.99,24.99,,
14/02/2024,ORD-061,CUST-1001,Valentine,Gift,Box,Sports,1,99.99,99.99
14/02/2024,ORD-062,CUST-1038,Refrigerator,Appliances,1,1299.99,1299.99,,
15/02/2024,ORD-063,CUST-1039,Smartphone,Electronics,1,699.99,699.99,,
15/02/2024,ORD-064,CUST-1023,Iron,Health,1,17.99,17.99,,
16/02/2024,ORD-065,CUST-1040,Home,Gym,Set,Sports,1,1499.99,1499.99
16/02/2024,ORD-066,CUST-1024,Washing,Machine,Appliances,1,899.99,899.99,
17/02/2024,ORD-067,CUST-1025,Tablet,Electronics,1,399.99,399.99,,
17/02/2024,ORD-068,CUST-1026,Zinc,Health,1,12.99,12.99,,
18/02/2024,ORD-069,CUST-1027,Snowboard,Sports,1,299.99,299.99,,
18/02/2024,ORD-070,CUST-1028,Dryer,Appliances,1,799.99,799.99,,
19/02/2024,ORD-071,CUST-1029,Desktop,Computer,Electronics,1,1199.99,1199.99,
19/02/2024,ORD-072,CUST-1030,Calcium,Health,1,16.99,16.99,,
20/02/2024,ORD-073,CUST-1031,Ski,Equipment,Sports,1,899.99,899.99,
20/02/2024,ORD-074,CUST-1032,Oven,Appliances,1,1199.99,1199.99,,
21/02/2024,ORD-075,CUST-1033,VR,Headset,Electronics,1,499.99,499.99,
21/02/2024,ORD-076,CUST-1034,B-Complex,Health,1,21.99,21.99,,
22/02/2024,ORD-077,CUST-1035,Mountain,Bike,Sports,1,1299.99,1299.99,
22/02/2024,ORD-078,CUST-1036,Range,Hood,Appliances,1,299.99,299.99,
23/02/2024,ORD-079,CUST-1037,Smart,TV,Electronics,1,799.99,799.99,
23/02/2024,ORD-080,CUST-1038,Biotin,Health,1,18.99,18.99,,
24/02/2024,ORD-081,CUST-1039,Surfboard,Sports,1,599.99,599.99,,
24/02/2024,ORD-082,CUST-1040,Garbage,Disposal,Appliances,1,179.99,179.99,
25/02/2024,ORD-083,CUST-1002,Sound,System,Electronics,1,899.99,899.99,
25/02/2024,ORD-084,CUST-1004,Vitamin,C,Health,1,13.99,13.99,
26/02/2024,ORD-085,CUST-1005,Tennis,Set,Sports,1,199.99,199.99,
26/02/2024,ORD-086,CUST-1006,Wine,Fridge,Appliances,1,699.99,699.99,
27/02/2024,ORD-087,CUST-1007,Gaming,Console,Electronics,1,499.99,499.99,
27/02/2024,ORD-088,CUST-1008,Ashwagandha,Health,1,26.99,26.99,,
28/02/2024,ORD-089,CUST-1009,Baseball,Equipment,Sports,1,249.99,249.99,
28/02/2024,ORD-090,CUST-1011,Ice,Maker,Appliances,1,399.99,399.99,
01/03/2024,ORD-091,CUST-1012,Smart,Speaker,Electronics,1,129.99,129.99,
01/03/2024,ORD-092,CUST-1013,Melatonin,Health,1,15.99,15.99,,
02/03/2024,ORD-093,CUST-1014,CrossFit,Equipment,Sports,1,799.99,799.99,
02/03/2024,ORD-094,CUST-1015,Water,Filter,Appliances,1,249.99,249.99,
03/03/2024,ORD-095,CUST-1016,Drone,Electronics,1,699.99,699.99,,
03/03/2024,ORD-096,CUST-1017,Glucosamine,Health,1,32.99,32.99,,
04/03/2024,ORD-097,CUST-1018,Pool,Table,Sports,1,1999.99,1999.99,
04/03/2024,ORD-098,CUST-1019,Dehumidifier,Appliances,1,299.99,299.99,,
05/03/2024,ORD-099,CUST-1020,Security,Camera,Electronics,1,199.99,199.99,
05/03/2024,ORD-100,CUST-1021,Rhodiola,Health,1,28.99,28.99,,